Entity,Code,Year,Number of homicides - Female - All ages
Afghanistan,AFG,2018,261
Afghanistan,AFG,2019,238
Africa (UN),,2000,20164.14
Africa (UN),,2001,20604.875
Africa (UN),,2002,21083.121
Africa (UN),,2003,21027.006
Africa (UN),,2004,21151.871
Africa (UN),,2005,21426.4
Africa (UN),,2006,21797.47
Africa (UN),,2007,22139.473
Africa (UN),,2008,22318.623
Africa (UN),,2009,23481.502
Africa (UN),,2010,24272.055
Africa (UN),,2011,24543.008
Africa (UN),,2012,25118.176
Africa (UN),,2013,25888.795
Africa (UN),,2014,26689.244
Africa (UN),,2015,27507.357
Africa (UN),,2016,28065.564
Africa (UN),,2017,28647.93
Africa (UN),,2018,28970.387
Africa (UN),,2019,29402.89
Africa (UN),,2020,29985.701
Africa (UN),,2021,31969.564
Albania,ALB,1992,14
Albania,ALB,1993,16
Albania,ALB,1994,12
Albania,ALB,1995,26
Albania,ALB,1996,28
Albania,ALB,1997,177
Albania,ALB,1998,87
Albania,ALB,1999,65
Albania,ALB,2000,13
Albania,ALB,2001,39
Albania,ALB,2002,39
Albania,ALB,2003,21
Albania,ALB,2004,19
Albania,ALB,2005,21
Albania,ALB,2006,23
Albania,ALB,2007,24
Albania,ALB,2008,19
Albania,ALB,2009,7
Albania,ALB,2010,11
Albania,ALB,2011,18
Albania,ALB,2012,26
Albania,ALB,2013,20
Albania,ALB,2014,12
Albania,ALB,2015,16
Albania,ALB,2016,17
Albania,ALB,2017,13
Albania,ALB,2018,15
Albania,ALB,2019,13
Albania,ALB,2020,9
Albania,ALB,2021,12
Algeria,DZA,2012,52
Algeria,DZA,2013,39
Algeria,DZA,2014,85.48148
Algeria,DZA,2015,71
Algeria,DZA,2016,75
Algeria,DZA,2017,56
Algeria,DZA,2018,86
Algeria,DZA,2019,86
Algeria,DZA,2020,122
Algeria,DZA,2021,160
American Samoa,ASM,2016,0
American Samoa,ASM,2017,1
American Samoa,ASM,2018,1
American Samoa,ASM,2019,0
Americas (UN),,2000,13942.262
Americas (UN),,2001,15183.292
Americas (UN),,2002,15096.69
Americas (UN),,2003,14827.773
Americas (UN),,2004,14225.155
Americas (UN),,2005,14209.024
Americas (UN),,2006,14200.447
Americas (UN),,2007,13861.127
Americas (UN),,2008,14470.925
Americas (UN),,2009,15733.983
Americas (UN),,2010,16129.927
Americas (UN),,2011,16765.28
Americas (UN),,2012,16962.31
Americas (UN),,2013,16570.734
Americas (UN),,2014,16424.604
Americas (UN),,2015,16280.861
Americas (UN),,2016,17312.182
Americas (UN),,2017,18307.867
Americas (UN),,2018,17906.668
Americas (UN),,2019,16926.832
Americas (UN),,2020,17037.598
Americas (UN),,2021,17501.5
Andorra,AND,2007,0
Andorra,AND,2008,1
Andorra,AND,2009,0
Andorra,AND,2010,0
Andorra,AND,2011,0
Andorra,AND,2012,0
Andorra,AND,2013,0
Andorra,AND,2014,0
Andorra,AND,2015,0
Anguilla,AIA,1991,0
Anguilla,AIA,1993,1
Anguilla,AIA,2000,0
Anguilla,AIA,2008,0
Anguilla,AIA,2009,0
Anguilla,AIA,2013,0
Antigua and Barbuda,ATG,1990,1
Antigua and Barbuda,ATG,1991,2
Antigua and Barbuda,ATG,1992,1
Antigua and Barbuda,ATG,1993,0
Antigua and Barbuda,ATG,1994,1
Antigua and Barbuda,ATG,1995,2
Antigua and Barbuda,ATG,1996,1
Antigua and Barbuda,ATG,1997,0
Antigua and Barbuda,ATG,2001,0.7777778
Antigua and Barbuda,ATG,2002,1.25
Antigua and Barbuda,ATG,2008,5
Antigua and Barbuda,ATG,2015,1
Antigua and Barbuda,ATG,2016,2
Antigua and Barbuda,ATG,2017,2
Antigua and Barbuda,ATG,2018,3
Antigua and Barbuda,ATG,2019,1
Antigua and Barbuda,ATG,2020,1
Antigua and Barbuda,ATG,2021,5
Argentina,ARG,2015,387
Argentina,ARG,2017,408
Argentina,ARG,2018,396
Argentina,ARG,2019,408
Argentina,ARG,2020,371
Argentina,ARG,2021,308
Armenia,ARM,1990,22.798029
Armenia,ARM,1991,29.76
Armenia,ARM,1993,53.97222
Armenia,ARM,1994,24.558659
Armenia,ARM,1995,19.09756
Armenia,ARM,1996,23
Armenia,ARM,1997,21.649485
Armenia,ARM,1998,15.5
Armenia,ARM,1999,19.285715
Armenia,ARM,2000,25.852272
Armenia,ARM,2001,18.373627
Armenia,ARM,2002,19.581081
Armenia,ARM,2003,10.857142
Armenia,ARM,2004,22
Armenia,ARM,2005,11
Armenia,ARM,2006,26
Armenia,ARM,2007,13
Armenia,ARM,2008,26.358696
Armenia,ARM,2009,25
Armenia,ARM,2010,10
Armenia,ARM,2011,19
Armenia,ARM,2012,19
Armenia,ARM,2013,19
Armenia,ARM,2014,20
Armenia,ARM,2015,21
Armenia,ARM,2016,14
Armenia,ARM,2017,11
Armenia,ARM,2018,11
Armenia,ARM,2019,10
Armenia,ARM,2020,16
Armenia,ARM,2021,14
Aruba,ABW,1990,0
Aruba,ABW,1995,0
Aruba,ABW,1999,1
Aruba,ABW,2001,2
Aruba,ABW,2002,1
Aruba,ABW,2003,1
Aruba,ABW,2004,0
Aruba,ABW,2005,1
Aruba,ABW,2006,1
Aruba,ABW,2007,0
Aruba,ABW,2008,1
Aruba,ABW,2009,1
Aruba,ABW,2010,0
Aruba,ABW,2011,0
Aruba,ABW,2012,1
Aruba,ABW,2013,1
Aruba,ABW,2014,0
Asia (UN),,2000,36235.824
Asia (UN),,2001,36035.66
Asia (UN),,2002,35124.37
Asia (UN),,2003,34644.594
Asia (UN),,2004,36060.574
Asia (UN),,2005,34346.402
Asia (UN),,2006,33907.33
Asia (UN),,2007,34678.414
Asia (UN),,2008,34728.637
Asia (UN),,2009,36368.215
Asia (UN),,2010,35109.168
Asia (UN),,2011,36576.457
Asia (UN),,2012,36752
Asia (UN),,2013,36258.695
Asia (UN),,2014,36319.45
Asia (UN),,2015,33085.824
Asia (UN),,2016,33539.66
Asia (UN),,2017,32378.223
Asia (UN),,2018,32003.658
Asia (UN),,2019,32270.74
Asia (UN),,2020,31346.672
Asia (UN),,2021,33596.715
Australia,AUS,1990,138
Australia,AUS,1991,143
Australia,AUS,1992,117
Australia,AUS,1993,118.4908
Australia,AUS,1994,114.9226
Australia,AUS,1995,139.7718
Australia,AUS,1996,112.88545
Australia,AUS,1997,121.71609
Australia,AUS,1998,106.42712
Australia,AUS,1999,123.564186
Australia,AUS,2000,136.04575
Australia,AUS,2001,116.042206
Australia,AUS,2002,121.149826
Australia,AUS,2003,96.35798
Australia,AUS,2004,92.53704
Australia,AUS,2005,94.36434
Australia,AUS,2006,92.871284
Australia,AUS,2007,85.338646
Australia,AUS,2008,101
Australia,AUS,2009,76.1583
Australia,AUS,2010,94
Australia,AUS,2011,90
Australia,AUS,2012,83
Australia,AUS,2013,94
Australia,AUS,2014,94
Australia,AUS,2015,85
Australia,AUS,2016,80
Australia,AUS,2017,63
Australia,AUS,2018,84
Australia,AUS,2019,68
Australia,AUS,2020,74
Australia,AUS,2021,49
Austria,AUT,1990,39.872
Austria,AUT,1991,46.81818
Austria,AUT,1992,42.74576
Austria,AUT,1993,34.71698
Austria,AUT,1994,52.425533
Austria,AUT,1995,38.07143
Austria,AUT,1996,50.53125
Austria,AUT,1997,37.304348
Austria,AUT,1998,33.846153
Austria,AUT,1999,31.764706
Austria,AUT,2000,53.573334
Austria,AUT,2001,41.81818
Austria,AUT,2002,37.68116
Austria,AUT,2003,23.404255
Austria,AUT,2004,31.918034
Austria,AUT,2005,24.179104
Austria,AUT,2006,29.134329
Austria,AUT,2007,24.23077
Austria,AUT,2008,29
Austria,AUT,2009,28.137932
Austria,AUT,2010,33
Austria,AUT,2011,35
Austria,AUT,2012,38
Austria,AUT,2013,29
Austria,AUT,2014,22
Austria,AUT,2015,17
Austria,AUT,2016,31
Austria,AUT,2017,37
Austria,AUT,2018,44
Austria,AUT,2019,40
Austria,AUT,2020,37
Austria,AUT,2021,40
Azerbaijan,AZE,2010,62
Azerbaijan,AZE,2011,75
Azerbaijan,AZE,2012,58
Azerbaijan,AZE,2013,70
Azerbaijan,AZE,2014,87
Azerbaijan,AZE,2015,72
Azerbaijan,AZE,2016,71
Azerbaijan,AZE,2017,76
Azerbaijan,AZE,2018,65
Azerbaijan,AZE,2019,60
Azerbaijan,AZE,2020,79
Azerbaijan,AZE,2021,69
Bahamas,BHS,1993,6
Bahamas,BHS,1994,5.571429
Bahamas,BHS,1995,6.6666665
Bahamas,BHS,1996,7.4634147
Bahamas,BHS,1997,6.8510637
Bahamas,BHS,2000,16.444445
Bahamas,BHS,2001,5.16
Bahamas,BHS,2002,12.235294
Bahamas,BHS,2003,6
Bahamas,BHS,2004,2
Bahamas,BHS,2005,8
Bahamas,BHS,2006,5
Bahamas,BHS,2007,8
Bahamas,BHS,2008,7
Bahamas,BHS,2009,10
Bahamas,BHS,2010,13
Bahamas,BHS,2011,16
Bahamas,BHS,2012,10
Bahamas,BHS,2013,15
Bahamas,BHS,2014,11
Bahamas,BHS,2015,16
Bahamas,BHS,2016,7
Bahamas,BHS,2017,6
Bahamas,BHS,2018,3
Bahamas,BHS,2019,6
Bahamas,BHS,2020,11
Bahamas,BHS,2021,6
Bahrain,BHR,2010,1
Bahrain,BHR,2011,1
Bahrain,BHR,2012,1
Bahrain,BHR,2013,1
Bahrain,BHR,2014,0
Bahrain,BHR,2015,0
Bahrain,BHR,2016,1
Bahrain,BHR,2017,1
Bahrain,BHR,2018,0
Bahrain,BHR,2019,1
Bahrain,BHR,2020,0
Bahrain,BHR,2021,1
Barbados,BRB,1990,11
Barbados,BRB,1991,9
Barbados,BRB,1992,4
Barbados,BRB,1993,5
Barbados,BRB,1994,6
Barbados,BRB,1995,5
Barbados,BRB,2000,5
Barbados,BRB,2001,4.464286
Barbados,BRB,2002,7.5
Barbados,BRB,2003,11
Barbados,BRB,2004,0.88
Barbados,BRB,2005,9.157895
Barbados,BRB,2006,1.5217391
Barbados,BRB,2007,6
Barbados,BRB,2008,4
Barbados,BRB,2009,3
Barbados,BRB,2010,8
Barbados,BRB,2011,2
Barbados,BRB,2012,2
Barbados,BRB,2013,7
Barbados,BRB,2014,3
Barbados,BRB,2015,3
Barbados,BRB,2016,2
Barbados,BRB,2017,2
Barbados,BRB,2018,4
Barbados,BRB,2019,5
Barbados,BRB,2020,3
Barbados,BRB,2021,6
Belarus,BLR,2007,221.5283
Belarus,BLR,2008,183
Belarus,BLR,2009,198
Belarus,BLR,2010,136
Belarus,BLR,2011,117
Belarus,BLR,2012,126
Belarus,BLR,2013,103
Belarus,BLR,2014,116
Belarus,BLR,2015,116
Belarus,BLR,2016,106
Belarus,BLR,2017,94
Belarus,BLR,2018,84
Belarus,BLR,2019,87
Belgium,BEL,2000,83.32948
Belgium,BEL,2001,102.8125
Belgium,BEL,2002,132.11111
Belgium,BEL,2003,94.236115
Belgium,BEL,2004,126.47191
Belgium,BEL,2005,92.19632
Belgium,BEL,2006,87.79452
Belgium,BEL,2007,87.35669
Belgium,BEL,2008,71.36719
Belgium,BEL,2009,76.16418
Belgium,BEL,2010,69.46154
Belgium,BEL,2011,92.34247
Belgium,BEL,2012,77.26923
Belgium,BEL,2013,98.77273
Belgium,BEL,2014,81.052635
Belgium,BEL,2015,105
Belgium,BEL,2016,67
Belgium,BEL,2017,92
Belgium,BEL,2018,73
Belgium,BEL,2019,55
Belgium,BEL,2021,11
Belize,BLZ,2004,14
Belize,BLZ,2009,9
Belize,BLZ,2010,16.125
Belize,BLZ,2011,12
Belize,BLZ,2012,14
Belize,BLZ,2013,10
Belize,BLZ,2014,12
Belize,BLZ,2015,9
Belize,BLZ,2016,15
Belize,BLZ,2017,11
Belize,BLZ,2018,19
Belize,BLZ,2019,17
Belize,BLZ,2020,11
Belize,BLZ,2021,11
Bermuda,BMU,1990,0
Bermuda,BMU,1991,0
Bermuda,BMU,1992,1
Bermuda,BMU,1996,1
Bermuda,BMU,2004,1
Bermuda,BMU,2005,0
Bermuda,BMU,2009,1
Bermuda,BMU,2010,0
Bermuda,BMU,2011,2
Bermuda,BMU,2012,0
Bermuda,BMU,2013,0
Bermuda,BMU,2014,1
Bermuda,BMU,2015,0
Bermuda,BMU,2016,0
Bermuda,BMU,2017,0
Bermuda,BMU,2019,0
Bhutan,BTN,2015,2
Bhutan,BTN,2016,4
Bhutan,BTN,2017,4
Bhutan,BTN,2018,2
Bhutan,BTN,2019,2
Bhutan,BTN,2020,5
Bolivia,BOL,2008,137.23756
Bolivia,BOL,2015,193
Bolivia,BOL,2016,218
Bolivia,BOL,2017,243
Bolivia,BOL,2018,217
Bolivia,BOL,2019,196
Bolivia,BOL,2020,153
Bolivia,BOL,2021,175
Bosnia and Herzegovina,BIH,1990,16
Bosnia and Herzegovina,BIH,2000,20
Bosnia and Herzegovina,BIH,2001,29
Bosnia and Herzegovina,BIH,2002,25
Bosnia and Herzegovina,BIH,2009,15
Bosnia and Herzegovina,BIH,2010,10
Bosnia and Herzegovina,BIH,2011,16
Bosnia and Herzegovina,BIH,2012,24
Bosnia and Herzegovina,BIH,2013,14
Bosnia and Herzegovina,BIH,2014,11
Bosnia and Herzegovina,BIH,2015,18
Bosnia and Herzegovina,BIH,2016,15
Bosnia and Herzegovina,BIH,2017,10
Bosnia and Herzegovina,BIH,2018,8
Bosnia and Herzegovina,BIH,2019,10
Bosnia and Herzegovina,BIH,2020,5
Bosnia and Herzegovina,BIH,2021,7
Botswana,BWA,2020,114
Botswana,BWA,2021,100
Brazil,BRA,1990,2370.5425
Brazil,BRA,1991,2500.762
Brazil,BRA,1992,2196.3054
Brazil,BRA,1993,2404.473
Brazil,BRA,1994,2602.553
Brazil,BRA,1995,3049.1504
Brazil,BRA,1996,3682
Brazil,BRA,1997,3587
Brazil,BRA,1998,3503
Brazil,BRA,1999,3536
Brazil,BRA,2000,3743
Brazil,BRA,2001,3851
Brazil,BRA,2002,3870
Brazil,BRA,2003,3938
Brazil,BRA,2004,3834
Brazil,BRA,2005,3886
Brazil,BRA,2006,4022
Brazil,BRA,2007,3776
Brazil,BRA,2008,4027
Brazil,BRA,2009,4265
Brazil,BRA,2010,4466
Brazil,BRA,2011,4516
Brazil,BRA,2012,4723
Brazil,BRA,2013,4767
Brazil,BRA,2014,4834
Brazil,BRA,2015,4619
Brazil,BRA,2016,4644
Brazil,BRA,2017,4931
Brazil,BRA,2018,4515
Brazil,BRA,2019,3731
Brazil,BRA,2020,3826
British Virgin Islands,VGB,1990,1
British Virgin Islands,VGB,1992,0
British Virgin Islands,VGB,1993,0
British Virgin Islands,VGB,1994,0
British Virgin Islands,VGB,1995,0
British Virgin Islands,VGB,1996,0
British Virgin Islands,VGB,1999,1
British Virgin Islands,VGB,2001,0
British Virgin Islands,VGB,2002,0
British Virgin Islands,VGB,2003,1
British Virgin Islands,VGB,2004,1
British Virgin Islands,VGB,2006,1
Brunei,BRN,1996,3
Brunei,BRN,1997,2
Brunei,BRN,1998,0
Brunei,BRN,1999,2
Brunei,BRN,2000,2
Bulgaria,BGR,1990,52.863014
Bulgaria,BGR,1991,92.966576
Bulgaria,BGR,1992,100.63367
Bulgaria,BGR,1993,91.43541
Bulgaria,BGR,1994,98.85981
Bulgaria,BGR,1995,78.19598
Bulgaria,BGR,1996,83.03317
Bulgaria,BGR,1997,94.40431
Bulgaria,BGR,1998,99.757095
Bulgaria,BGR,1999,87.93277
Bulgaria,BGR,2000,97.31035
Bulgaria,BGR,2001,61.85246
Bulgaria,BGR,2002,56.666668
Bulgaria,BGR,2003,51.88128
Bulgaria,BGR,2004,57.153152
Bulgaria,BGR,2005,52
Bulgaria,BGR,2006,54
Bulgaria,BGR,2007,38
Bulgaria,BGR,2008,36
Bulgaria,BGR,2009,35
Bulgaria,BGR,2010,27
Bulgaria,BGR,2011,30
Bulgaria,BGR,2012,37
Bulgaria,BGR,2013,34
Bulgaria,BGR,2014,26
Bulgaria,BGR,2015,29
Bulgaria,BGR,2016,22
Bulgaria,BGR,2017,35
Bulgaria,BGR,2018,38
Bulgaria,BGR,2019,23
Bulgaria,BGR,2020,26
Bulgaria,BGR,2021,28
Burundi,BDI,2013,97
Burundi,BDI,2014,102
Burundi,BDI,2015,78
Burundi,BDI,2016,123
Cameroon,CMR,2015,192
Cameroon,CMR,2016,117
Cameroon,CMR,2017,202
Cameroon,CMR,2020,301
Canada,CAN,1990,235.9982
Canada,CAN,1991,276.38586
Canada,CAN,1992,238.1943
Canada,CAN,1993,199.93916
Canada,CAN,1994,204.6506
Canada,CAN,1995,190.86504
Canada,CAN,1996,207.19765
Canada,CAN,1997,198.5058
Canada,CAN,1998,185.53534
Canada,CAN,1999,166.83333
Canada,CAN,2000,149
Canada,CAN,2001,162.29295
Canada,CAN,2002,207
Canada,CAN,2003,156.43013
Canada,CAN,2004,200
Canada,CAN,2005,180
Canada,CAN,2006,162
Canada,CAN,2007,166
Canada,CAN,2008,147
Canada,CAN,2009,162
Canada,CAN,2010,155
Canada,CAN,2011,180
Canada,CAN,2012,157
Canada,CAN,2013,151
Canada,CAN,2014,154
Canada,CAN,2015,179
Canada,CAN,2016,155
Canada,CAN,2017,173
Canada,CAN,2018,168
Canada,CAN,2019,155
Canada,CAN,2020,178
Canada,CAN,2021,197
Cape Verde,CPV,2011,7.27451
Cape Verde,CPV,2012,10.181818
Cape Verde,CPV,2013,7
Cape Verde,CPV,2014,15
Cape Verde,CPV,2015,7
Cape Verde,CPV,2017,7
Cape Verde,CPV,2018,8
Cape Verde,CPV,2019,5
Cape Verde,CPV,2020,9
Cayman Islands,CYM,1990,0
Cayman Islands,CYM,1991,0
Cayman Islands,CYM,1992,0
Cayman Islands,CYM,1993,0
Cayman Islands,CYM,1994,0
Cayman Islands,CYM,1995,0
Cayman Islands,CYM,1996,0
Cayman Islands,CYM,1997,0
Cayman Islands,CYM,1998,0
Cayman Islands,CYM,2000,1
Cayman Islands,CYM,2001,1
Cayman Islands,CYM,2003,1
Cayman Islands,CYM,2004,1
Cayman Islands,CYM,2005,0
Cayman Islands,CYM,2006,1
Cayman Islands,CYM,2007,1
Cayman Islands,CYM,2008,0
Cayman Islands,CYM,2009,1
Cayman Islands,CYM,2010,0
Cayman Islands,CYM,2013,0
Cayman Islands,CYM,2014,0
Chile,CHL,2005,83
Chile,CHL,2006,91
Chile,CHL,2007,111
Chile,CHL,2008,103
Chile,CHL,2009,99.35065
Chile,CHL,2010,96
Chile,CHL,2011,115
Chile,CHL,2012,37
Chile,CHL,2013,108
Chile,CHL,2014,63
Chile,CHL,2015,49
Chile,CHL,2016,90
Chile,CHL,2017,106
Chile,CHL,2018,94
Chile,CHL,2019,95
Chile,CHL,2020,111
Chile,CHL,2021,66
Colombia,COL,1990,1835.405
Colombia,COL,1991,2020.691
Colombia,COL,1992,2127.6084
Colombia,COL,1993,2114.619
Colombia,COL,1994,2000.042
Colombia,COL,1995,1654.818
Colombia,COL,1996,1744.9777
Colombia,COL,1997,1740.5876
Colombia,COL,1998,1726.3416
Colombia,COL,1999,1796.5336
Colombia,COL,2000,1924.0659
Colombia,COL,2001,2214.3455
Colombia,COL,2002,2242.0203
Colombia,COL,2003,2000.1533
Colombia,COL,2004,1629
Colombia,COL,2005,1492
Colombia,COL,2006,1323
Colombia,COL,2007,1385
Colombia,COL,2008,1262
Colombia,COL,2009,1260
Colombia,COL,2010,1226
Colombia,COL,2011,1348
Colombia,COL,2012,1387
Colombia,COL,2013,1223
Colombia,COL,2014,1173
Colombia,COL,2015,1068
Colombia,COL,2016,1037
Colombia,COL,2017,1089
Colombia,COL,2018,1094
Colombia,COL,2019,1099
Colombia,COL,2020,975
Colombia,COL,2021,1069
Costa Rica,CRI,1990,27.8
Costa Rica,CRI,1991,24.75
Costa Rica,CRI,1992,24.691359
Costa Rica,CRI,1993,19.27711
Costa Rica,CRI,1994,24.72826
Costa Rica,CRI,1995,26.726257
Costa Rica,CRI,1996,18.415384
Costa Rica,CRI,1997,19.463415
Costa Rica,CRI,1998,27.214952
Costa Rica,CRI,1999,32.182205
Costa Rica,CRI,2000,40.294605
Costa Rica,CRI,2001,28.438524
Costa Rica,CRI,2002,33.88983
Costa Rica,CRI,2003,37.762238
Costa Rica,CRI,2004,38.76923
Costa Rica,CRI,2005,61.212624
Costa Rica,CRI,2006,45
Costa Rica,CRI,2007,37
Costa Rica,CRI,2008,60
Costa Rica,CRI,2009,59
Costa Rica,CRI,2010,61
Costa Rica,CRI,2011,64
Costa Rica,CRI,2012,50
Costa Rica,CRI,2013,36
Costa Rica,CRI,2014,51
Costa Rica,CRI,2015,42
Costa Rica,CRI,2016,66
Costa Rica,CRI,2017,58
Costa Rica,CRI,2018,65
Costa Rica,CRI,2019,48
Costa Rica,CRI,2020,62
Costa Rica,CRI,2021,56
Croatia,HRV,1990,43.316177
Croatia,HRV,1991,124.174866
Croatia,HRV,1992,94.77551
Croatia,HRV,1993,55.45614
Croatia,HRV,1994,30.772152
Croatia,HRV,1995,45.177216
Croatia,HRV,1996,38.526318
Croatia,HRV,1997,31.403225
Croatia,HRV,1998,34.52055
Croatia,HRV,1999,28.617188
